"gene","hgnc_symbol","description","gene_biotype"
"ENSG00000002549","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","protein_coding"
"ENSG00000002586","CD99","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]","protein_coding"
"ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]","protein_coding"
"ENSG00000002745","WNT16","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","protein_coding"
"ENSG00000002746","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","protein_coding"
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","protein_coding"
"ENSG00000002834","LASP1","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]","protein_coding"
"ENSG00000002919","SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]","protein_coding"
"ENSG00000002933","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]","protein_coding"
"ENSG00000003056","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","protein_coding"
"ENSG00000003096","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]","protein_coding"
"ENSG00000003137","CYP26B1","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]","protein_coding"
"ENSG00000003147","ICA1","islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]","protein_coding"
"ENSG00000003249","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","protein_coding"
"ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]","protein_coding"
"ENSG00000003400","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]","protein_coding"
"ENSG00000003402","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","protein_coding"
"ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","protein_coding"
"ENSG00000003509","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]","protein_coding"
"ENSG00000003756","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]","protein_coding"
"ENSG00000003987","MTMR7","myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]","protein_coding"
"ENSG00000003989","SLC7A2","solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]","protein_coding"
"ENSG00000004059","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]","protein_coding"
"ENSG00000004139","SARM1","sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]","protein_coding"
"ENSG00000004142","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]","protein_coding"
"ENSG00000004399","PLXND1","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","protein_coding"
"ENSG00000004455","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]","protein_coding"
"ENSG00000004468","CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]","protein_coding"
"ENSG00000004478","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]","protein_coding"
"ENSG00000004487","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","protein_coding"
"ENSG00000004534","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]","protein_coding"
"ENSG00000004660","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","protein_coding"
"ENSG00000004700","RECQL","RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]","protein_coding"
"ENSG00000004766","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]","protein_coding"
"ENSG00000004776","HSPB6","heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]","protein_coding"
"ENSG00000004777","ARHGAP33","Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","protein_coding"
"ENSG00000004779","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]","protein_coding"
"ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]","protein_coding"
"ENSG00000004838","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]","protein_coding"
"ENSG00000004848","ARX","aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]","protein_coding"
"ENSG00000004864","SLC25A13","solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]","protein_coding"
"ENSG00000004866","ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","protein_coding"
"ENSG00000004897","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","protein_coding"
"ENSG00000004961","HCCS","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","protein_coding"
"ENSG00000004975","DVL2","dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]","protein_coding"
"ENSG00000005007","UPF1","UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","protein_coding"
"ENSG00000005020","SKAP2","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","protein_coding"
"ENSG00000005022","SLC25A5","solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]","protein_coding"
"ENSG00000005059","MCUB","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]","protein_coding"
"ENSG00000005075","POLR2J","RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]","protein_coding"
"ENSG00000005100","DHX33","DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]","protein_coding"
"ENSG00000005108","THSD7A","thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]","protein_coding"
"ENSG00000005156","LIG3","DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]","protein_coding"
"ENSG00000005175","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","protein_coding"
"ENSG00000005189","REXO5","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]","protein_coding"
"ENSG00000005194","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]","protein_coding"
"ENSG00000005206","SPPL2B","signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","protein_coding"
"ENSG00000005238","FAM214B","family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]","protein_coding"
"ENSG00000005243","COPZ2","COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]","protein_coding"
"ENSG00000005249","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]","protein_coding"
"ENSG00000005302","MSL3","MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]","protein_coding"
"ENSG00000005339","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","protein_coding"
"ENSG00000005379","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","protein_coding"
"ENSG00000005381","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","protein_coding"
"ENSG00000005421","PON1","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]","protein_coding"
"ENSG00000005436","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]","protein_coding"
"ENSG00000005448","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]","protein_coding"
"ENSG00000005469","CROT","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","protein_coding"
"ENSG00000005471","ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","protein_coding"
"ENSG00000005483","KMT2E","lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]","protein_coding"
"ENSG00000005486","RHBDD2","rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]","protein_coding"
"ENSG00000005513","SOX8","SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]","protein_coding"
"ENSG00000005700","IBTK","inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]","protein_coding"
"ENSG00000005801","ZNF195","zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]","protein_coding"
"ENSG00000005810","MYCBP2","MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]","protein_coding"
"ENSG00000005812","FBXL3","F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]","protein_coding"
"ENSG00000005844","ITGAL","integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]","protein_coding"
"ENSG00000005882","PDK2","pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]","protein_coding"
"ENSG00000005884","ITGA3","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","protein_coding"
"ENSG00000005889","ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]","protein_coding"
"ENSG00000005893","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]","protein_coding"
"ENSG00000005961","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]","protein_coding"
"ENSG00000005981","ASB4","ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]","protein_coding"
"ENSG00000006007","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]","protein_coding"
"ENSG00000006015","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]","protein_coding"
"ENSG00000006016","CRLF1","cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]","protein_coding"
"ENSG00000006025","OSBPL7","oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]","protein_coding"
"ENSG00000006042","TMEM98","transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]","protein_coding"
"ENSG00000006047","YBX2","Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]","protein_coding"
"ENSG00000006062","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]","protein_coding"
"ENSG00000006071","ABCC8","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","protein_coding"
"ENSG00000006116","CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]","protein_coding"
"ENSG00000006118","TMEM132A","transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]","protein_coding"
"ENSG00000006125","AP2B1","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]","protein_coding"
"ENSG00000006128","TAC1","tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]","protein_coding"
"ENSG00000006194","ZNF263","zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]","protein_coding"
"ENSG00000006210","CX3CL1","C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]","protein_coding"
"ENSG00000006282","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]","protein_coding"
"ENSG00000006283","CACNA1G","calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]","protein_coding"
"ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]","protein_coding"
"ENSG00000006377","DLX6","distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]","protein_coding"
"ENSG00000006432","MAP3K9","mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]","protein_coding"
"ENSG00000006451","RALA","RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]","protein_coding"
"ENSG00000006453","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]","protein_coding"
"ENSG00000006459","KDM7A","lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]","protein_coding"
"ENSG00000006468","ETV1","ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]","protein_coding"
"ENSG00000006530","AGK","acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]","protein_coding"
"ENSG00000006534","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]","protein_coding"
"ENSG00000006555","TTC22","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]","protein_coding"
"ENSG00000006576","PHTF2","putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]","protein_coding"
"ENSG00000006607","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]","protein_coding"
"ENSG00000006611","USH1C","USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","protein_coding"
"ENSG00000006625","GGCT","gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]","protein_coding"
"ENSG00000006634","DBF4","DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]","protein_coding"
"ENSG00000006638","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]","protein_coding"
"ENSG00000006652","IFRD1","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]","protein_coding"
"ENSG00000006695","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]","protein_coding"
"ENSG00000006704","GTF2IRD1","GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]","protein_coding"
"ENSG00000006712","PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]","protein_coding"
"ENSG00000006715","VPS41","VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]","protein_coding"
"ENSG00000006740","ARHGAP44","Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]","protein_coding"
"ENSG00000006744","ELAC2","elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]","protein_coding"
"ENSG00000006747","SCIN","scinderin [Source:HGNC Symbol;Acc:HGNC:21695]","protein_coding"
"ENSG00000006756","ARSD","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]","protein_coding"
"ENSG00000006757","PNPLA4","patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]","protein_coding"
"ENSG00000006831","ADIPOR2","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]","protein_coding"
"ENSG00000006837","CDKL3","cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]","protein_coding"
"ENSG00000007001","UPP2","uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]","protein_coding"
"ENSG00000007047","MARK4","microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]","protein_coding"
"ENSG00000007062","PROM1","prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]","protein_coding"
"ENSG00000007080","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]","protein_coding"
"ENSG00000007129","CEACAM21","CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]","protein_coding"
"ENSG00000007168","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]","protein_coding"
"ENSG00000007171","NOS2","nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]","protein_coding"
"ENSG00000007174","DNAH9","dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]","protein_coding"
"ENSG00000007202","KIAA0100","KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]","protein_coding"
"ENSG00000007237","GAS7","growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]","protein_coding"
"ENSG00000007255","TRAPPC6A","trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]","protein_coding"
"ENSG00000007264","MATK","megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]","protein_coding"
"ENSG00000007341","ST7L","suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]","protein_coding"
"ENSG00000007372","PAX6","paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]","protein_coding"
"ENSG00000007376","RPUSD1","RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]","protein_coding"
"ENSG00000007384","RHBDF1","rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]","protein_coding"
"ENSG00000007392","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]","protein_coding"
"ENSG00000007402","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]","protein_coding"
"ENSG00000007516","BAIAP3","BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]","protein_coding"
"ENSG00000007520","TSR3","TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]","protein_coding"
"ENSG00000007541","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]","protein_coding"
"ENSG00000007545","CRAMP1","cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]","protein_coding"
"ENSG00000007866","TEAD3","TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]","protein_coding"
"ENSG00000007923","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]","protein_coding"
"ENSG00000007933","FMO3","flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]","protein_coding"
"ENSG00000007944","MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]","protein_coding"
"ENSG00000007968","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","protein_coding"
"ENSG00000008018","PSMB1","proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]","protein_coding"
"ENSG00000008056","SYN1","synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]","protein_coding"
"ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]","protein_coding"
"ENSG00000008086","CDKL5","cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]","protein_coding"
"ENSG00000008118","CAMK1G","calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]","protein_coding"
"ENSG00000008128","CDK11A","cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]","protein_coding"
"ENSG00000008130","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]","protein_coding"
"ENSG00000008226","DLEC1","DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]","protein_coding"
"ENSG00000008256","CYTH3","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]","protein_coding"
"ENSG00000008277","ADAM22","ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]","protein_coding"
"ENSG00000008282","SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]","protein_coding"
"ENSG00000008283","CYB561","cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]","protein_coding"
"ENSG00000008294","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]","protein_coding"
"ENSG00000008300","CELSR3","cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]","protein_coding"
"ENSG00000008311","AASS","aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]","protein_coding"
"ENSG00000008324","SS18L2","SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]","protein_coding"
"ENSG00000008382","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]","protein_coding"
"ENSG00000008394","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]","protein_coding"
"ENSG00000008405","CRY1","cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]","protein_coding"
"ENSG00000008441","NFIX","nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]","protein_coding"
"ENSG00000008513","ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]","protein_coding"
"ENSG00000008516","MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]","protein_coding"
"ENSG00000008517","IL32","interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]","protein_coding"
"ENSG00000008710","PKD1","polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]","protein_coding"
"ENSG00000008735","MAPK8IP2","mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]","protein_coding"
"ENSG00000008838","MED24","mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]","protein_coding"
"ENSG00000008853","RHOBTB2","Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]","protein_coding"
"ENSG00000008869","HEATR5B","HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]","protein_coding"
"ENSG00000008952","SEC62","SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]","protein_coding"
"ENSG00000008988","RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]","protein_coding"
"ENSG00000009307","CSDE1","cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]","protein_coding"
"ENSG00000009335","UBE3C","ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]","protein_coding"
"ENSG00000009413","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]","protein_coding"
"ENSG00000009694","TENM1","teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]","protein_coding"
"ENSG00000009709","PAX7","paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]","protein_coding"
"ENSG00000009765","IYD","iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]","protein_coding"
"ENSG00000009780","FAM76A","family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]","protein_coding"
"ENSG00000009790","TRAF3IP3","TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]","protein_coding"
"ENSG00000009830","POMT2","protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]","protein_coding"
"ENSG00000009844","VTA1","vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]","protein_coding"
"ENSG00000009950","MLXIPL","MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]","protein_coding"
"ENSG00000009954","BAZ1B","bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]","protein_coding"
"ENSG00000010017","RANBP9","RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]","protein_coding"
"ENSG00000010030","ETV7","ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]","protein_coding"
"ENSG00000010072","SPRTN","SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]","protein_coding"
"ENSG00000010165","METTL13","methyltransferase 13, eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]","protein_coding"
